customer_id,credit_score,customer_tenure,balance,num_products,outstanding_loans,income,credit_history_length,num_complaints,churn_flag
CUST10047,612,7,9619.41,4,21458.03,41190.95,4.2,0,0
CUST10048,537,2,41877.47,3,37895.24,39331.61,8.3,3,0
CUST10049,432,2,58614.04,2,32202.51,45189.56,2.8,4,0
CUST10050,512,6,75880.68,2,26851.52,69991.55,9.9,1,1
CUST10051,356,2,113360.83,1,7002.01,74118.01,3.8,0,0
CUST10052,414,1,73353.56,1,24682.43,16059.9,3.5,1,0
CUST10053,562,5,123859.14,2,10847.85,40035.79,2.6,2,0
CUST10054,384,8,81070.22,4,40422.91,30617.59,6.0,0,0
CUST10055,677,6,53577.48,2,36964.78,65149.44,9.1,4,1
CUST10056,465,9,120896.62,1,8954.56,34209.35,6.0,2,1
CUST10057,763,3,27956.78,4,4516.43,43957.39,1.4,1,0
CUST10058,426,5,133393.35,4,5429.32,59460.37,1.5,4,0
CUST10059,631,2,101012.06,2,39179.35,54465.35,5.7,1,0
CUST10060,581,3,143006.59,2,47075.8,62040.52,9.0,4,1
CUST10061,762,6,31476.45,2,14486.35,40164.41,6.3,4,1
CUST10062,628,7,34911.86,1,5462.25,47892.62,7.7,4,0
CUST10063,739,7,68483.82,2,35386.0,29050.08,8.5,2,1
CUST10064,558,3,22313.37,2,26129.83,64396.66,2.2,4,1
CUST10065,448,3,5958.99,3,30283.52,70640.3,4.9,1,1
CUST10066,435,5,52786.22,1,25091.07,31149.06,1.0,3,0
CUST10067,739,3,112661.02,2,40487.04,44843.02,4.8,0,0
CUST10068,441,3,133347.76,1,29244.85,17322.38,8.7,4,0
CUST10069,678,10,34999.65,3,40110.64,17820.87,8.1,2,1
CUST10070,587,4,141645.55,2,32887.97,20124.01,4.0,2,1
CUST10071,475,8,11885.74,3,34247.66,54093.37,7.4,4,0
CUST10072,534,4,11743.72,3,36829.03,65038.48,7.4,0,0
CUST10073,708,1,105807.09,1,28909.38,19043.33,5.4,1,1
CUST10074,553,1,10170.43,1,17988.05,79820.51,1.9,4,1
CUST10075,739,10,145597.11,1,19813.16,34770.65,9.3,3,0
CUST10076,775,4,41131.47,4,1116.3,72534.13,6.2,0,1
CUST10077,484,1,19308.57,3,1858.91,79972.6,2.6,0,0
CUST10078,586,4,115268.17,1,23241.03,68874.16,7.1,0,1
CUST10079,587,3,63367.63,4,40098.66,36624.75,7.9,0,0
CUST10080,594,7,135011.31,3,35361.32,11691.44,2.0,0,1
CUST10081,382,10,73868.78,4,19244.48,45558.02,4.8,2,1
CUST10082,516,9,1197.54,1,23976.48,44156.03,9.5,4,0
CUST10083,612,1,24501.47,3,41905.71,10246.28,6.3,0,0
CUST10084,763,1,14907.83,3,39384.64,70805.67,8.1,0,1
CUST10085,457,9,27202.42,4,30511.11,20232.89,2.4,4,1
CUST10086,639,2,40585.23,2,42453.15,53890.38,3.4,0,1
CUST10087,694,2,11306.77,4,48960.38,28376.04,9.7,3,1
CUST10088,765,10,131838.81,1,31148.32,39000.48,1.7,3,1
CUST10089,428,2,100993.92,3,48494.08,42892.1,9.0,2,1
CUST10090,653,9,66596.6,3,3900.45,51136.46,1.6,4,0
CUST10091,490,8,134807.0,3,38792.79,46366.35,6.3,2,1
CUST10092,548,3,91750.16,4,4805.24,35510.75,1.1,2,1
CUST10093,356,9,102258.27,4,11084.57,12832.36,9.1,0,1
CUST10094,675,7,106896.83,1,16958.5,18862.32,5.8,1,1
CUST10095,364,5,65919.6,4,5835.04,53679.37,5.8,3,1
CUST10096,518,5,43974.64,2,35798.14,52421.24,4.5,2,1
CUST10097,573,1,133013.79,2,17471.77,56779.06,7.3,4,1
CUST10098,651,9,55362.95,1,8431.66,15626.39,7.0,4,1
CUST10099,560,4,65519.13,4,10737.13,27485.77,6.4,2,1
CUST10100,727,3,41441.02,3,1238.36,26440.93,5.2,3,1
CUST10101,407,1,83046.69,3,48026.76,67024.18,2.7,2,0
CUST10102,468,3,80721.44,1,47559.1,63186.11,6.2,3,0
CUST10103,465,4,64760.07,1,12722.06,62614.91,9.5,1,0
CUST10104,520,1,52991.78,2,34963.68,78033.2,3.7,3,1
CUST10105,351,7,81261.46,1,2321.57,74109.59,5.1,1,1
CUST10106,543,2,57308.69,4,17478.57,55085.24,1.5,2,1
CUST10107,521,3,116864.85,4,33813.31,45619.08,1.8,0,0
CUST10108,613,5,23011.83,1,11383.83,67235.78,2.8,0,1
CUST10109,609,7,108069.27,2,16957.45,48476.38,6.7,3,1
CUST10110,476,2,31300.2,1,6556.82,63733.31,3.5,2,1
CUST10111,542,10,139803.72,4,7565.83,22611.97,9.5,3,0
CUST10112,576,6,57748.76,1,310.51,45910.4,4.7,3,1
CUST10113,725,5,48567.02,3,16931.54,43852.39,6.6,3,0
CUST10114,384,8,135146.45,3,21286.95,43925.54,6.1,0,1
CUST10115,627,3,7106.41,4,21129.99,46365.23,5.5,0,1
CUST10116,386,3,146645.24,2,14245.83,52979.32,4.6,0,0
CUST10117,469,10,139303.05,4,26586.58,52379.27,5.0,0,0
CUST10118,549,8,99694.3,2,1268.91,76680.99,10.0,1,0
CUST10119,714,10,85440.12,1,20288.72,25368.39,1.8,1,0
CUST10120,501,7,78652.93,4,30644.92,20074.22,9.7,3,1
CUST10121,574,2,12512.47,4,38203.79,61059.42,3.3,3,0
CUST10122,610,8,13617.32,4,49636.36,27043.61,8.2,2,1
CUST10123,691,9,103596.77,3,21968.75,29635.2,3.1,4,0
CUST10124,528,2,143695.15,1,47009.43,22560.39,4.5,3,0
CUST10125,604,3,76537.39,1,45818.6,43426.95,7.4,3,1
CUST10126,727,8,152.77,3,6959.54,38664.41,9.3,0,1
CUST10127,546,2,124326.29,3,25042.17,78261.7,4.9,0,1
CUST10128,772,10,124579.06,1,11214.03,57262.89,6.5,2,1
CUST10129,528,2,50476.78,1,39653.88,50941.08,4.1,2,0
CUST10130,544,1,101972.79,3,36758.4,50414.0,2.9,0,0
CUST10131,360,8,21237.55,2,48672.83,29950.24,9.5,0,1
CUST10132,589,1,24485.7,4,2966.71,72102.93,9.5,1,0
CUST10133,561,1,106714.88,3,21651.74,18144.91,9.8,1,1
CUST10134,536,7,76489.09,2,18226.59,61488.84,9.8,0,1
CUST10135,630,8,88338.84,2,32783.91,18680.91,9.1,4,0
CUST10136,596,9,78555.88,1,26541.06,44887.32,6.0,3,1
CUST10137,775,3,141070.14,3,28509.41,25147.84,3.8,4,1
CUST10138,532,9,118303.83,4,7102.12,48767.6,4.5,4,1
CUST10139,545,5,134868.51,4,47056.5,23738.2,3.6,3,1
CUST10140,715,8,43742.04,1,16249.09,45200.83,3.9,1,1
CUST10141,568,2,146941.59,3,19660.76,12177.63,7.9,1,0
CUST10142,462,8,122816.66,2,11429.85,27273.81,9.5,0,1
CUST10143,583,7,14934.93,1,15168.07,61477.64,6.1,0,1
CUST10144,578,5,13066.04,1,18937.24,46378.27,7.4,0,1
CUST10145,533,5,28728.16,2,13030.23,44659.47,3.5,4,0
CUST10146,588,2,50456.2,1,22674.93,54554.2,9.1,2,0
CUST10147,610,4,32915.66,2,41654.48,46767.84,5.8,2,0
CUST10148,786,7,7776.02,2,42183.31,28414.69,7.0,4,1
CUST10149,381,9,66751.97,2,30615.86,72297.99,8.8,0,1
CUST10150,760,6,39376.78,4,27635.47,31921.32,3.8,0,1
CUST10151,569,5,69400.49,4,30114.13,11276.16,2.7,4,0
CUST10152,520,8,117523.12,2,25211.94,23265.18,6.0,1,1
CUST10153,624,7,48265.9,2,3550.1,38634.98,8.4,2,1
CUST10154,402,10,6045.45,4,5099.8,10683.24,8.7,3,1
CUST10155,684,8,125180.7,3,23933.36,48199.3,1.5,4,0
CUST10156,392,1,73547.78,1,3692.09,76729.33,8.1,0,1
CUST10157,543,7,36622.33,2,6485.85,49179.32,3.5,0,1
CUST10158,440,8,139238.6,3,31288.61,24494.7,2.0,0,1
CUST10159,486,10,110279.26,4,47279.2,14492.32,3.7,1,0
CUST10160,561,8,63255.59,3,1738.15,47839.95,2.1,3,0
CUST10161,352,6,52068.56,1,30115.75,57981.41,4.4,1,0
CUST10162,749,1,10657.77,4,22624.47,54909.14,5.4,4,1
CUST10163,690,3,42847.85,3,1975.42,49723.91,9.3,0,0
CUST10164,781,8,107374.41,3,39018.6,35753.12,8.9,0,1
CUST10165,384,6,11345.23,3,35234.03,37185.23,7.8,0,0
CUST10166,429,7,56471.69,4,46716.91,70367.75,1.9,3,1
CUST10167,570,3,88735.73,2,33197.02,13383.74,5.1,2,1
CUST10168,734,8,110993.48,4,35775.22,30917.85,4.0,0,1
CUST10169,486,1,111423.38,3,18005.26,30107.18,9.8,1,1
CUST10170,484,10,43891.18,4,28954.93,78696.58,9.2,3,1
CUST10171,728,8,49386.36,2,31023.66,45124.06,9.2,2,0
CUST10172,350,7,23602.26,4,5825.28,22685.11,8.5,2,0
CUST10173,777,3,109393.18,4,9960.81,69357.02,7.7,0,0
CUST10174,435,8,39820.43,3,11804.3,36162.26,7.4,3,1
CUST10175,493,4,72063.5,3,30494.01,36952.88,5.7,4,1
CUST10176,495,9,134958.88,4,27144.23,33600.96,6.2,0,1
CUST10177,753,10,964.34,3,16137.29,20517.89,5.3,2,1
CUST10178,719,9,128504.02,4,39489.47,41263.89,5.6,1,1
CUST10179,501,5,110977.33,4,34590.69,48444.83,2.4,1,0
CUST10180,503,10,96772.86,1,6965.77,41698.57,3.2,0,1
CUST10181,715,5,61061.59,2,39490.12,36691.91,3.1,2,1
CUST10182,477,9,93602.76,4,15477.66,26078.6,4.1,1,0
CUST10183,709,10,142289.53,4,23306.01,70109.19,5.2,3,0
CUST10184,717,4,14292.42,4,9087.44,70412.23,5.0,1,0
CUST10185,644,8,10165.79,1,20164.01,49390.26,9.2,2,1
CUST10186,684,10,51074.56,4,11480.77,59711.6,2.5,0,0
CUST10187,452,9,15458.48,4,36668.45,73768.59,4.9,2,0
CUST10188,603,3,137663.5,1,29412.32,21232.08,3.3,4,1
CUST10189,411,5,118106.73,3,44072.36,18914.65,9.7,2,1
CUST10190,376,5,23762.75,2,7903.01,23883.91,5.6,1,1
CUST10191,540,3,56044.04,3,28734.57,51395.95,6.4,3,0
CUST10192,482,3,62308.69,4,23603.76,15134.0,9.6,2,1
CUST10193,418,1,143163.44,2,23808.02,61368.01,7.2,1,0
CUST10194,586,7,49382.96,2,37772.29,13493.2,5.6,2,1
CUST10195,742,1,72031.28,1,20733.96,11795.67,4.3,3,0
CUST10196,461,2,79344.33,1,34763.56,77640.7,8.0,0,1
CUST10197,430,2,117270.49,4,13935.57,34729.2,4.7,2,1
CUST10198,740,6,130206.7,1,6353.8,49157.09,7.8,4,0
CUST10199,363,3,100616.18,1,39642.89,43804.33,2.8,4,1
